study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB39798	SAMEA7171743	ERX4377235	ERR4436696	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/006/ERR4436696/ERR4436696_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/006/ERR4436696/ERR4436696_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436696/E11-5-2-5D_S2_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436696/E11-5-2-5D_S2_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/006/ERR4436696
PRJEB39798	SAMEA7171743	ERX4377235	ERR4436697	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/007/ERR4436697/ERR4436697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/007/ERR4436697/ERR4436697_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436697/E11-5-2-5D_S2_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436697/E11-5-2-5D_S2_L002_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/007/ERR4436697
PRJEB39798	SAMEA7171743	ERX4377235	ERR4436698	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/008/ERR4436698/ERR4436698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/008/ERR4436698/ERR4436698_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436698/E11-5-2-5D_S2_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436698/E11-5-2-5D_S2_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/008/ERR4436698
PRJEB39798	SAMEA7171743	ERX4377235	ERR4436699	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/009/ERR4436699/ERR4436699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/009/ERR4436699/ERR4436699_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436699/E11-5-2-5D_S2_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436699/E11-5-2-5D_S2_L004_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/009/ERR4436699
PRJEB39798	SAMEA7171744	ERX4377236	ERR4436700	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/000/ERR4436700/ERR4436700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/000/ERR4436700/ERR4436700_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436700/E11-5-2-5V_S1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436700/E11-5-2-5V_S1_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/000/ERR4436700
PRJEB39798	SAMEA7171744	ERX4377236	ERR4436701	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/001/ERR4436701/ERR4436701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/001/ERR4436701/ERR4436701_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436701/E11-5-2-5V_S1_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436701/E11-5-2-5V_S1_L002_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/001/ERR4436701
PRJEB39798	SAMEA7171744	ERX4377236	ERR4436702	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/002/ERR4436702/ERR4436702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/002/ERR4436702/ERR4436702_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436702/E11-5-2-5V_S1_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436702/E11-5-2-5V_S1_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/002/ERR4436702
PRJEB39798	SAMEA7171744	ERX4377236	ERR4436703	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/003/ERR4436703/ERR4436703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/003/ERR4436703/ERR4436703_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436703/E11-5-2-5V_S1_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436703/E11-5-2-5V_S1_L004_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/003/ERR4436703
PRJEB39798	SAMEA7171745	ERX4377237	ERR4436704	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/004/ERR4436704/ERR4436704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/004/ERR4436704/ERR4436704_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436704/E11-5-6-5D_S4_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436704/E11-5-6-5D_S4_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/004/ERR4436704
PRJEB39798	SAMEA7171745	ERX4377237	ERR4436705	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/005/ERR4436705/ERR4436705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/005/ERR4436705/ERR4436705_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436705/E11-5-6-5D_S4_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436705/E11-5-6-5D_S4_L002_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/005/ERR4436705
PRJEB39798	SAMEA7171745	ERX4377237	ERR4436706	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/006/ERR4436706/ERR4436706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/006/ERR4436706/ERR4436706_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436706/E11-5-6-5D_S4_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436706/E11-5-6-5D_S4_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/006/ERR4436706
PRJEB39798	SAMEA7171745	ERX4377237	ERR4436707	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/007/ERR4436707/ERR4436707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/007/ERR4436707/ERR4436707_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436707/E11-5-6-5D_S4_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436707/E11-5-6-5D_S4_L004_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/007/ERR4436707
